"Time (s) Run #1","Voltage (V) Run #1","Current (A) Run #1","Time (s) Run #2","Voltage (V) Run #2","Current (A) Run #2","Time (s) Run #3","Voltage (V) Run #3","Current (A) Run #3","Time (s) Run #4","Voltage (V) Run #4","Current (A) Run #4","Time (s) Run #5","Voltage (V) Run #5","Current (A) Run #5","Time (s) Run #6","Voltage (V) Run #6","Current (A) Run #6"
1.600,-1.0269,9.5172E-11,1.600,-1.0260,5.7851E-11,1.600,-1.0265,1.9175E-10,1.600,-1.0260,1.0943E-10,1.600,-1.0265,4.3903E-10,1.600,-1.0267,2.3064E-10
1.700,-1.0266,9.5794E-11,1.700,-1.0264,5.7843E-11,1.700,-1.0266,1.9184E-10,1.700,-1.0262,1.0942E-10,1.700,-1.0268,4.3847E-10,1.700,-1.0263,2.3085E-10
1.800,-1.0262,9.6582E-11,1.800,-1.0260,5.7858E-11,1.800,-1.0263,1.9195E-10,1.800,-1.0262,1.0948E-10,1.800,-1.0261,4.3833E-10,1.800,-1.0267,2.3129E-10
1.900,-1.0267,9.7208E-11,1.900,-1.0261,5.7853E-11,1.900,-1.0266,1.9201E-10,1.900,-1.0262,1.0964E-10,1.900,-1.0266,4.3848E-10,1.900,-1.0268,2.3176E-10
2.000,-1.0264,9.7504E-11,2.000,-1.0261,5.7822E-11,2.000,-1.0268,1.9203E-10,2.000,-1.0265,1.0989E-10,2.000,-1.0263,4.3872E-10,2.000,-1.0265,2.3206E-10
2.100,-1.0265,9.7505E-11,2.100,-1.0261,5.7785E-11,2.100,-1.0270,1.9201E-10,2.100,-1.0262,1.1016E-10,2.100,-1.0263,4.3883E-10,2.100,-1.0262,2.3216E-10
2.200,-1.0269,9.7387E-11,2.200,-1.0262,5.7757E-11,2.200,-1.0268,1.9191E-10,2.200,-1.0265,1.1035E-10,2.200,-1.0267,4.3882E-10,2.200,-1.0262,2.3210E-10
2.300,-1.0265,9.7267E-11,2.300,-1.0261,5.7830E-11,2.300,-1.0267,1.9174E-10,2.300,-1.0266,1.1041E-10,2.300,-1.0268,4.3917E-10,2.300,-1.0264,2.3201E-10
2.400,-1.0263,9.7091E-11,2.400,-1.0258,5.7991E-11,2.400,-1.0265,1.9152E-10,2.400,-1.0265,1.1034E-10,2.400,-1.0270,4.3944E-10,2.400,-1.0266,2.3195E-10
2.500,-1.0267,9.6846E-11,2.500,-1.0267,5.8180E-11,2.500,-1.0264,1.9127E-10,2.500,-1.0263,1.1020E-10,2.500,-1.0263,4.3919E-10,2.500,-1.0262,2.3165E-10
2.600,-1.0265,9.6580E-11,2.600,-1.0264,5.8380E-11,2.600,-1.0266,1.9108E-10,2.600,-1.0262,1.1001E-10,2.600,-1.0265,4.3828E-10,2.600,-1.0265,2.3108E-10
2.700,-1.0267,9.6301E-11,2.700,-1.0262,5.8564E-11,2.700,-1.0260,1.9107E-10,2.700,-1.0264,1.0981E-10,2.700,-1.0266,4.3690E-10,2.700,-1.0266,2.3038E-10
2.800,-1.0264,9.5971E-11,2.800,-1.0263,5.8712E-11,2.800,-1.0261,1.9117E-10,2.800,-1.0263,1.0975E-10,2.800,-1.0264,4.3574E-10,2.800,-1.0262,2.2950E-10
2.900,-1.0262,9.5567E-11,2.900,-1.0267,5.8828E-11,2.900,-1.0261,1.9133E-10,2.900,-1.0264,1.0987E-10,2.900,-1.0267,4.3552E-10,2.900,-1.0268,2.2863E-10
3.000,-1.0267,9.5199E-11,3.000,-1.0261,5.8908E-11,3.000,-1.0265,1.9137E-10,3.000,-1.0265,1.1005E-10,3.000,-1.0266,4.3625E-10,3.000,-1.0268,2.2807E-10
3.100,-1.0269,9.4903E-11,3.100,-1.0269,5.8919E-11,3.100,-1.0260,1.9123E-10,3.100,-1.0264,1.1027E-10,3.100,-1.0264,4.3734E-10,3.100,-1.0269,2.2796E-10
3.200,-1.0263,9.4707E-11,3.200,-1.0270,5.8883E-11,3.200,-1.0261,1.9097E-10,3.200,-1.0263,1.1046E-10,3.200,-1.0268,4.3846E-10,3.200,-1.0268,2.2819E-10
3.300,-1.0265,9.4634E-11,3.300,-1.0272,5.8807E-11,3.300,-1.0265,1.9072E-10,3.300,-1.0256,1.1061E-10,3.300,-1.0269,4.3941E-10,3.300,-1.0267,2.2854E-10
3.400,-1.0266,9.4759E-11,3.400,-1.0265,5.8696E-11,3.400,-1.0262,1.9057E-10,3.400,-1.0259,1.1069E-10,3.400,-1.0269,4.4018E-10,3.400,-1.0267,2.2876E-10
3.500,-1.0268,9.5080E-11,3.500,-1.0262,5.8554E-11,3.500,-1.0262,1.9056E-10,3.500,-1.0262,1.1075E-10,3.500,-1.0269,4.4092E-10,3.500,-1.0265,2.2876E-10
3.600,-1.0266,9.5468E-11,3.600,-1.0262,5.8399E-11,3.600,-1.0262,1.9068E-10,3.600,-1.0263,1.1086E-10,3.600,-1.0267,4.4171E-10,3.600,-1.0267,2.2870E-10
3.700,-1.0264,9.5804E-11,3.700,-1.0262,5.8255E-11,3.700,-1.0258,1.9084E-10,3.700,-1.0264,1.1100E-10,3.700,-1.0270,4.4262E-10,3.700,-1.0263,2.2878E-10
3.800,-1.0265,9.6026E-11,3.800,-1.0261,5.8141E-11,3.800,-1.0260,1.9096E-10,3.800,-1.0262,1.1097E-10,3.800,-1.0268,4.4360E-10,3.800,-1.0262,2.2897E-10
3.900,-1.0266,9.6115E-11,3.900,-1.0260,5.8029E-11,3.900,-1.0260,1.9098E-10,3.900,-1.0266,1.1066E-10,3.900,-1.0264,4.4455E-10,3.900,-1.0262,2.2918E-10
4.000,-1.0262,9.6083E-11,4.000,-1.0264,5.7874E-11,4.000,-1.0266,1.9086E-10,4.000,-1.0262,1.1017E-10,4.000,-1.0266,4.4537E-10,4.000,-1.0265,2.2939E-10
4.100,-1.0267,9.5959E-11,4.100,-1.0262,5.7698E-11,4.100,-1.0261,1.9064E-10,4.100,-1.0263,1.0961E-10,4.100,-1.0267,4.4599E-10,4.100,-1.0262,2.2964E-10
4.200,-1.0264,9.5832E-11,4.200,-1.0265,5.7504E-11,4.200,-1.0265,1.9052E-10,4.200,-1.0257,1.0903E-10,4.200,-1.0268,4.4638E-10,4.200,-1.0265,2.2993E-10
4.300,-1.0265,9.5765E-11,4.300,-1.0262,5.7334E-11,4.300,-1.0264,1.9063E-10,4.300,-1.0259,1.0856E-10,4.300,-1.0268,4.4640E-10,4.300,-1.0261,2.3022E-10
4.400,-1.0262,9.5710E-11,4.400,-1.0267,5.7250E-11,4.400,-1.0261,1.9085E-10,4.400,-1.0253,1.0831E-10,4.400,-1.0267,4.4585E-10,4.400,-1.0264,2.3043E-10
4.500,-1.0262,9.5563E-11,4.500,-1.0260,5.7266E-11,4.500,-1.0260,1.9109E-10,4.500,-1.0258,1.0831E-10,4.500,-1.0269,4.4501E-10,4.500,-1.0265,2.3063E-10
4.600,-1.0263,9.5359E-11,4.600,-1.0260,5.7314E-11,4.600,-1.0265,1.9134E-10,4.600,-1.0264,1.0845E-10,4.600,-1.0267,4.4411E-10,4.600,-1.0264,2.3085E-10
4.700,-1.0260,9.5216E-11,4.700,-1.0256,5.7340E-11,4.700,-1.0264,1.9163E-10,4.700,-1.0264,1.0861E-10,4.700,-1.0264,4.4338E-10,4.700,-1.0261,2.3108E-10
4.800,-1.0264,9.5260E-11,4.800,-1.0261,5.7305E-11,4.800,-1.0265,1.9192E-10,4.800,-1.0263,1.0868E-10,4.800,-1.0267,4.4295E-10,4.800,-1.0260,2.3127E-10
4.900,-1.0266,9.5430E-11,4.900,-1.0264,5.7244E-11,4.900,-1.0261,1.9206E-10,4.900,-1.0263,1.0869E-10,4.900,-1.0265,4.4260E-10,4.900,-1.0262,2.3148E-10
5.000,-1.0262,9.5580E-11,5.000,-1.0268,5.7197E-11,5.000,-1.0262,1.9184E-10,5.000,-1.0267,1.0867E-10,5.000,-1.0261,4.4195E-10,5.000,-1.0261,2.3166E-10
5.100,-1.0268,9.5718E-11,5.100,-1.0263,5.7247E-11,5.100,-1.0264,1.9122E-10,5.100,-1.0266,1.0866E-10,5.100,-1.0266,4.4116E-10,5.100,-1.0265,2.3164E-10
5.200,-1.0262,9.5914E-11,5.200,-1.0261,5.7418E-11,5.200,-1.0264,1.9039E-10,5.200,-1.0264,1.0874E-10,5.200,-1.0257,4.4067E-10,5.200,-1.0263,2.3152E-10
5.300,-1.0269,9.6164E-11,5.300,-1.0263,5.7629E-11,5.300,-1.0262,1.8972E-10,5.300,-1.0264,1.0885E-10,5.300,-1.0265,4.4052E-10,5.300,-1.0261,2.3157E-10
5.400,-1.0266,9.6414E-11,5.400,-1.0264,5.7791E-11,5.400,-1.0264,1.8945E-10,5.400,-1.0265,1.0892E-10,5.400,-1.0265,4.4049E-10,5.400,-1.0258,2.3188E-10
5.500,-1.0265,9.6644E-11,5.500,-1.0266,5.7910E-11,5.500,-1.0263,1.8931E-10,5.500,-1.0260,1.0898E-10,5.500,-1.0264,4.4039E-10,5.500,-1.0266,2.3226E-10
5.600,-1.0267,9.6850E-11,5.600,-1.0264,5.8027E-11,5.600,-1.0263,1.8881E-10,5.600,-1.0261,1.0909E-10,5.600,-1.0265,4.4029E-10,5.600,-1.0263,2.3216E-10
5.700,-1.0261,9.7018E-11,5.700,-1.0260,5.8125E-11,5.700,-1.0264,1.8778E-10,5.700,-1.0261,1.0929E-10,5.700,-1.0265,4.4019E-10,5.700,-1.0266,2.3155E-10
5.800,-1.0268,9.7026E-11,5.800,-1.0263,5.8200E-11,5.800,-1.0265,1.8640E-10,5.800,-1.0264,1.0960E-10,5.800,-1.0262,4.4006E-10,5.800,-1.0263,2.3112E-10
5.900,-1.0265,9.6940E-11,5.900,-1.0263,5.8245E-11,5.900,-1.0264,1.8490E-10,5.900,-1.0266,1.0990E-10,5.900,-1.0263,4.3980E-10,5.900,-1.0263,2.3109E-10
6.000,-1.0265,9.6870E-11,6.000,-1.0264,5.8235E-11,6.000,-1.0259,1.8357E-10,6.000,-1.0262,1.1006E-10,6.000,-1.0261,4.3924E-10,6.000,-1.0261,2.3130E-10
6.100,-1.0266,9.6884E-11,6.100,-1.0263,5.8197E-11,6.100,-1.0261,1.8273E-10,6.100,-1.0265,1.1008E-10,6.100,-1.0260,4.3839E-10,6.100,-1.0263,2.3153E-10
6.200,-1.0264,9.6925E-11,6.200,-1.0268,5.8169E-11,6.200,-1.0264,1.8276E-10,6.200,-1.0259,1.1000E-10,6.200,-1.0263,4.3792E-10,6.200,-1.0263,2.3175E-10
6.300,-1.0266,9.6964E-11,6.300,-1.0265,5.8170E-11,6.300,-1.0266,1.8356E-10,6.300,-1.0257,1.0981E-10,6.300,-1.0261,4.3791E-10,6.300,-1.0264,2.3205E-10
6.400,-1.0263,9.7019E-11,6.400,-1.0268,5.8198E-11,6.400,-1.0265,1.8471E-10,6.400,-1.0262,1.0962E-10,6.400,-1.0262,4.3803E-10,6.400,-1.0266,2.3222E-10
6.500,-1.0264,9.7065E-11,6.500,-1.0266,5.8257E-11,6.500,-1.0265,1.8590E-10,6.500,-1.0259,1.0955E-10,6.500,-1.0264,4.3820E-10,6.500,-1.0262,2.3188E-10
6.600,-1.0267,9.7114E-11,6.600,-1.0267,5.8285E-11,6.600,-1.0265,1.8686E-10,6.600,-1.0261,1.0952E-10,6.600,-1.0260,4.3844E-10,6.600,-1.0265,2.3111E-10
6.700,-1.0266,9.7212E-11,6.700,-1.0268,5.8290E-11,6.700,-1.0267,1.8754E-10,6.700,-1.0261,1.0941E-10,6.700,-1.0264,4.3868E-10,6.700,-1.0264,2.3045E-10
6.800,-1.0266,9.7296E-11,6.800,-1.0264,5.8259E-11,6.800,-1.0267,1.8801E-10,6.800,-1.0263,1.0922E-10,6.800,-1.0263,4.3903E-10,6.800,-1.0266,2.3006E-10
6.900,-1.0263,9.7295E-11,6.900,-1.0261,5.8244E-11,6.900,-1.0267,1.8839E-10,6.900,-1.0262,1.0908E-10,6.900,-1.0263,4.3951E-10,6.900,-1.0267,2.2978E-10
7.000,-1.0263,9.7202E-11,7.000,-1.0263,5.8264E-11,7.000,-1.0265,1.8887E-10,7.000,-1.0259,1.0902E-10,7.000,-1.0262,4.4018E-10,7.000,-1.0264,2.2976E-10
7.100,-1.0266,9.7069E-11,7.100,-1.0264,5.8353E-11,7.100,-1.0264,1.8953E-10,7.100,-1.0262,1.0903E-10,7.100,-1.0264,4.4095E-10,7.100,-1.0266,2.3001E-10
7.200,-1.0261,9.6987E-11,7.200,-1.0263,5.8492E-11,7.200,-1.0266,1.9020E-10,7.200,-1.0261,1.0901E-10,7.200,-1.0262,4.4138E-10,7.200,-1.0266,2.3014E-10
7.300,-1.0264,9.6953E-11,7.300,-1.0262,5.8635E-11,7.300,-1.0262,1.9078E-10,7.300,-1.0261,1.0894E-10,7.300,-1.0264,4.4106E-10,7.300,-1.0266,2.3004E-10
7.400,-1.0264,9.6938E-11,7.400,-1.0265,5.8767E-11,7.400,-1.0264,1.9128E-10,7.400,-1.0257,1.0893E-10,7.400,-1.0262,4.4019E-10,7.400,-1.0265,2.2978E-10
7.500,-1.0262,9.6918E-11,7.500,-1.0265,5.8854E-11,7.500,-1.0263,1.9169E-10,7.500,-1.0261,1.0909E-10,7.500,-1.0262,4.3922E-10,7.500,-1.0267,2.2935E-10
7.600,-1.0262,9.6862E-11,7.600,-1.0265,5.8891E-11,7.600,-1.0261,1.9201E-10,7.600,-1.0261,1.0937E-10,7.600,-1.0265,4.3812E-10,7.600,-1.0270,2.2884E-10
7.700,-1.0267,9.6789E-11,7.700,-1.0263,5.8887E-11,7.700,-1.0259,1.9224E-10,7.700,-1.0259,1.0966E-10,7.700,-1.0263,4.3722E-10,7.700,-1.0267,2.2852E-10
7.800,-1.0266,9.6722E-11,7.800,-1.0258,5.8858E-11,7.800,-1.0266,1.9233E-10,7.800,-1.0259,1.0984E-10,7.800,-1.0266,4.3682E-10,7.800,-1.0268,2.2832E-10
7.900,-1.0262,9.6670E-11,7.900,-1.0263,5.8842E-11,7.900,-1.0262,1.9226E-10,7.900,-1.0263,1.0995E-10,7.900,-1.0262,4.3694E-10,7.900,-1.0268,2.2810E-10
8.000,-1.0259,9.6611E-11,8.000,-1.0266,5.8877E-11,8.000,-1.0260,1.9217E-10,8.000,-1.0264,1.1007E-10,8.000,-1.0260,4.3740E-10,8.000,-1.0267,2.2779E-10
8.100,-1.0264,9.6553E-11,8.100,-1.0266,5.8945E-11,8.100,-1.0266,1.9214E-10,8.100,-1.0261,1.1026E-10,8.100,-1.0262,4.3774E-10,8.100,-1.0269,2.2744E-10
8.200,-1.0257,9.6531E-11,8.200,-1.0257,5.8985E-11,8.200,-1.0265,1.9209E-10,8.200,-1.0261,1.1049E-10,8.200,-1.0264,4.3786E-10,8.200,-1.0270,2.2703E-10
8.300,-1.0261,9.6543E-11,8.300,-1.0260,5.8942E-11,8.300,-1.0265,1.9200E-10,8.300,-1.0262,1.1066E-10,8.300,-1.0264,4.3814E-10,8.300,-1.0262,2.2664E-10
8.400,-1.0261,9.6576E-11,8.400,-1.0261,5.8840E-11,8.400,-1.0264,1.9187E-10,8.400,-1.0262,1.1074E-10,8.400,-1.0264,4.3862E-10,8.400,-1.0264,2.2636E-10
8.500,-1.0262,9.6609E-11,8.500,-1.0262,5.8701E-11,8.500,-1.0260,1.9168E-10,8.500,-1.0261,1.1078E-10,8.500,-1.0264,4.3904E-10,8.500,-1.0267,2.2629E-10
8.600,-1.0266,9.6644E-11,8.600,-1.0259,5.8582E-11,8.600,-1.0266,1.9151E-10,8.600,-1.0259,1.1075E-10,8.600,-1.0264,4.3930E-10,8.600,-1.0265,2.2642E-10
8.700,-1.0259,9.6595E-11,8.700,-1.0262,5.8488E-11,8.700,-1.0263,1.9137E-10,8.700,-1.0265,1.1065E-10,8.700,-1.0264,4.3934E-10,8.700,-1.0262,2.2672E-10
8.800,-1.0255,9.6373E-11,8.800,-1.0259,5.8426E-11,8.800,-1.0264,1.9130E-10,8.800,-1.0261,1.1062E-10,8.800,-1.0262,4.3925E-10,8.800,-1.0261,2.2707E-10
8.900,-1.0259,9.5979E-11,8.900,-1.0256,5.8353E-11,8.900,-1.0263,1.9150E-10,8.900,-1.0262,1.1072E-10,8.900,-1.0263,4.3920E-10,8.900,-1.0264,2.2737E-10
9.000,-1.0259,9.5563E-11,9.000,-1.0261,5.8279E-11,9.000,-1.0265,1.9204E-10,9.000,-1.0258,1.1089E-10,9.000,-1.0264,4.3917E-10,9.000,-1.0263,2.2757E-10
9.100,-1.0263,9.5282E-11,9.100,-1.0263,5.8237E-11,9.100,-1.0265,1.9256E-10,9.100,-1.0261,1.1101E-10,9.100,-1.0263,4.3923E-10,9.100,-1.0267,2.2767E-10
9.200,-1.0263,9.5145E-11,9.200,-1.0263,5.8205E-11,9.200,-1.0269,1.9272E-10,9.200,-1.0259,1.1104E-10,9.200,-1.0264,4.3934E-10,9.200,-1.0265,2.2772E-10
9.300,-1.0265,9.5206E-11,9.300,-1.0263,5.8151E-11,9.300,-1.0264,1.9247E-10,9.300,-1.0261,1.1097E-10,9.300,-1.0267,4.3942E-10,9.300,-1.0263,2.2771E-10
9.400,-1.0267,9.5486E-11,9.400,-1.0260,5.8076E-11,9.400,-1.0266,1.9205E-10,9.400,-1.0262,1.1096E-10,9.400,-1.0265,4.3951E-10,9.400,-1.0262,2.2762E-10
9.500,-1.0267,9.5960E-11,9.500,-1.0267,5.7997E-11,9.500,-1.0267,1.9161E-10,9.500,-1.0264,1.1109E-10,9.500,-1.0271,4.3968E-10,9.500,-1.0263,2.2764E-10
9.600,-1.0264,9.6531E-11,9.600,-1.0262,5.7913E-11,9.600,-1.0264,1.9116E-10,9.600,-1.0268,1.1134E-10,9.600,-1.0269,4.3995E-10,9.600,-1.0262,2.2805E-10
9.700,-1.0266,9.7066E-11,9.700,-1.0263,5.7842E-11,9.700,-1.0267,1.9077E-10,9.700,-1.0263,1.1166E-10,9.700,-1.0268,4.4025E-10,9.700,-1.0265,2.2872E-10
9.800,-1.0262,9.7499E-11,9.800,-1.0263,5.7835E-11,9.800,-1.0259,1.9054E-10,9.800,-1.0266,1.1197E-10,9.800,-1.0265,4.4050E-10,9.800,-1.0260,2.2917E-10
9.900,-1.0264,9.7798E-11,9.900,-1.0265,5.7901E-11,9.900,-1.0264,1.9040E-10,9.900,-1.0261,1.1220E-10,9.900,-1.0265,4.4067E-10,9.900,-1.0265,2.2929E-10
10.000,-1.0263,9.7974E-11,10.000,-1.0262,5.8026E-11,10.000,-1.0265,1.9033E-10,10.000,-1.0260,1.1226E-10,10.000,-1.0265,4.4045E-10,10.000,-1.0261,2.2936E-10
10.100,-1.0267,9.8071E-11,10.100,-1.0266,5.8152E-11,10.100,-1.0264,1.9022E-10,10.100,-1.0262,1.1212E-10,10.100,-1.0264,4.3999E-10,10.100,-1.0265,2.2955E-10
10.200,-1.0266,9.8098E-11,10.200,-1.0262,5.8259E-11,10.200,-1.0260,1.9002E-10,10.200,-1.0260,1.1190E-10,10.200,-1.0265,4.3963E-10,10.200,-1.0263,2.2988E-10
10.300,-1.0261,9.8016E-11,10.300,-1.0263,5.8326E-11,10.300,-1.0264,1.8975E-10,10.300,-1.0261,1.1163E-10,10.300,-1.0261,4.3947E-10,10.300,-1.0264,2.3024E-10
10.400,-1.0267,9.7785E-11,10.400,-1.0261,5.8355E-11,10.400,-1.0263,1.8950E-10,10.400,-1.0262,1.1133E-10,10.400,-1.0260,4.3946E-10,10.400,-1.0266,2.3042E-10
10.500,-1.0265,9.7472E-11,10.500,-1.0261,5.8356E-11,,,,10.500,-1.0258,1.1104E-10,,,,10.500,-1.0270,2.3047E-10
,,,10.600,-1.0264,5.8324E-11,,,,10.600,-1.0265,1.1090E-10,,,,,,
,,,10.700,-1.0261,5.8213E-11,,,,10.700,-1.0262,1.1105E-10,,,,,,
,,,10.800,-1.0264,5.8046E-11,,,,,,,,,,,,
,,,10.900,-1.0258,5.7895E-11,,,,,,,,,,,,
,,,11.000,-1.0262,5.7733E-11,,,,,,,,,,,,
,,,11.100,-1.0261,5.7614E-11,,,,,,,,,,,,
,,,11.200,-1.0261,5.7593E-11,,,,,,,,,,,,
,,,11.300,-1.0261,5.7677E-11,,,,,,,,,,,,
,,,11.400,-1.0263,5.7771E-11,,,,,,,,,,,,
,,,11.500,-1.0266,5.7829E-11,,,,,,,,,,,,
,,,11.600,-1.0259,5.7908E-11,,,,,,,,,,,,
,,,11.700,-1.0262,5.8008E-11,,,,,,,,,,,,
,,,11.800,-1.0259,5.8092E-11,,,,,,,,,,,,
,,,11.900,-1.0262,5.8112E-11,,,,,,,,,,,,
