"Time (s) Run #1","Voltage (V) Run #1","Current (A) Run #1","Time (s) Run #2","Voltage (V) Run #2","Current (A) Run #2","Time (s) Run #3","Voltage (V) Run #3","Current (A) Run #3","Time (s) Run #4","Voltage (V) Run #4","Current (A) Run #4","Time (s) Run #5","Voltage (V) Run #5","Current (A) Run #5","Time (s) Run #6","Voltage (V) Run #6","Current (A) Run #6"
0.000,-1.0262,9.6596E-11,0.000,-1.0261,5.6428E-11,0.000,-1.0267,1.9015E-10,0.000,-1.0262,1.0528E-10,0.000,-1.0265,4.3525E-10,0.000,-1.0266,2.2954E-10
0.100,-1.0266,9.6543E-11,0.100,-1.0269,5.6735E-11,0.100,-1.0265,1.9023E-10,0.100,-1.0264,1.0648E-10,0.100,-1.0266,4.3527E-10,0.100,-1.0259,2.2934E-10
0.200,-1.0266,9.6567E-11,0.200,-1.0265,5.7144E-11,0.200,-1.0266,1.9020E-10,0.200,-1.0264,1.0744E-10,0.200,-1.0262,4.3555E-10,0.200,-1.0263,2.2888E-10
0.300,-1.0271,9.6720E-11,0.300,-1.0262,5.7441E-11,0.300,-1.0270,1.9005E-10,0.300,-1.0263,1.0812E-10,0.300,-1.0261,4.3642E-10,0.300,-1.0261,2.2849E-10
0.400,-1.0268,9.6905E-11,0.400,-1.0263,5.7635E-11,0.400,-1.0270,1.8993E-10,0.400,-1.0262,1.0860E-10,0.400,-1.0258,4.3745E-10,0.400,-1.0262,2.2839E-10
0.500,-1.0267,9.7004E-11,0.500,-1.0259,5.7793E-11,0.500,-1.0270,1.8991E-10,0.500,-1.0261,1.0892E-10,0.500,-1.0260,4.3801E-10,0.500,-1.0263,2.2846E-10
0.600,-1.0267,9.7035E-11,0.600,-1.0261,5.7888E-11,0.600,-1.0269,1.8987E-10,0.600,-1.0267,1.0912E-10,0.600,-1.0263,4.3845E-10,0.600,-1.0261,2.2875E-10
0.700,-1.0265,9.7002E-11,0.700,-1.0260,5.7928E-11,0.700,-1.0262,1.8968E-10,0.700,-1.0268,1.0921E-10,0.700,-1.0265,4.3914E-10,0.700,-1.0263,2.2926E-10
0.800,-1.0268,9.6771E-11,0.800,-1.0257,5.7916E-11,0.800,-1.0267,1.8941E-10,0.800,-1.0266,1.0919E-10,0.800,-1.0268,4.4008E-10,0.800,-1.0264,2.2966E-10
0.900,-1.0268,9.6392E-11,0.900,-1.0259,5.7915E-11,0.900,-1.0271,1.8923E-10,0.900,-1.0264,1.0906E-10,0.900,-1.0268,4.4144E-10,0.900,-1.0263,2.2984E-10
1.000,-1.0265,9.5938E-11,1.000,-1.0262,5.7941E-11,1.000,-1.0264,1.8927E-10,1.000,-1.0264,1.0896E-10,1.000,-1.0268,4.4294E-10,1.000,-1.0264,2.2987E-10
1.100,-1.0265,9.5447E-11,1.100,-1.0259,5.7949E-11,1.100,-1.0269,1.8966E-10,1.100,-1.0265,1.0900E-10,1.100,-1.0267,4.4427E-10,1.100,-1.0261,2.2983E-10
1.200,-1.0272,9.5007E-11,1.200,-1.0261,5.7919E-11,1.200,-1.0268,1.9025E-10,1.200,-1.0264,1.0917E-10,1.200,-1.0270,4.4465E-10,1.200,-1.0261,2.2988E-10
1.300,-1.0269,9.4776E-11,1.300,-1.0260,5.7910E-11,1.300,-1.0265,1.9081E-10,1.300,-1.0261,1.0936E-10,1.300,-1.0267,4.4354E-10,1.300,-1.0261,2.3012E-10
1.400,-1.0268,9.4771E-11,1.400,-1.0262,5.7893E-11,1.400,-1.0267,1.9126E-10,1.400,-1.0261,1.0945E-10,1.400,-1.0266,4.4163E-10,1.400,-1.0267,2.3038E-10
1.500,-1.0265,9.4875E-11,1.500,-1.0262,5.7872E-11,1.500,-1.0265,1.9159E-10,1.500,-1.0262,1.0946E-10,1.500,-1.0268,4.4000E-10,1.500,-1.0265,2.3055E-10
