"Time (s) Run #1","Voltage (V) Run #1","Current (A) Run #1","Time (s) Run #2","Voltage (V) Run #2","Current (A) Run #2","Time (s) Run #3","Voltage (V) Run #3","Current (A) Run #3"
0.000,-1.0263,9.1133E-11,0.000,-1.0255,2.7488E-11,0.000,-1.0258,6.7500E-12
0.100,-1.0264,9.0987E-11,0.100,-1.0259,2.7518E-11,0.100,-1.0258,6.7264E-12
0.200,-1.0263,9.0908E-11,0.200,-1.0258,2.7529E-11,0.200,-1.0257,6.7108E-12
0.300,-1.0262,9.0894E-11,0.300,-1.0257,2.7516E-11,0.300,-1.0260,6.6995E-12
0.400,-1.0264,9.0934E-11,0.400,-1.0261,2.7478E-11,0.400,-1.0260,6.7059E-12
0.500,-1.0267,9.0987E-11,0.500,-1.0258,2.7437E-11,0.500,-1.0263,6.7307E-12
0.600,-1.0266,9.1084E-11,0.600,-1.0264,2.7395E-11,0.600,-1.0264,6.7444E-12
0.700,-1.0265,9.1232E-11,0.700,-1.0263,2.7368E-11,0.700,-1.0261,6.7530E-12
0.800,-1.0265,9.1391E-11,0.800,-1.0262,2.7373E-11,0.800,-1.0257,6.7603E-12
0.900,-1.0258,9.1513E-11,0.900,-1.0257,2.7389E-11,0.900,-1.0258,6.7742E-12
1.000,-1.0262,9.1525E-11,1.000,-1.0256,2.7426E-11,1.000,-1.0260,6.7869E-12
1.100,-1.0264,9.1439E-11,1.100,-1.0257,2.7494E-11,1.100,-1.0264,6.7918E-12
1.200,-1.0265,9.1287E-11,1.200,-1.0257,2.7585E-11,1.200,-1.0266,6.7709E-12
1.300,-1.0261,9.1071E-11,1.300,-1.0253,2.7649E-11,1.300,-1.0262,6.7625E-12
1.400,-1.0269,9.0796E-11,1.400,-1.0258,2.7652E-11,1.400,-1.0262,6.7411E-12
1.500,-1.0263,9.0549E-11,1.500,-1.0255,2.7620E-11,1.500,-1.0260,6.7283E-12
1.600,-1.0266,9.0385E-11,1.600,-1.0255,2.7571E-11,1.600,-1.0263,6.7150E-12
1.700,-1.0268,9.0412E-11,1.700,-1.0257,2.7543E-11,1.700,-1.0261,6.7024E-12
1.800,-1.0267,9.0642E-11,1.800,-1.0258,2.7595E-11,1.800,-1.0262,6.6899E-12
1.900,-1.0268,9.0965E-11,1.900,-1.0257,2.7701E-11,1.900,-1.0266,6.6708E-12
2.000,-1.0265,9.1282E-11,2.000,-1.0262,2.7760E-11,2.000,-1.0264,6.6834E-12
2.100,-1.0262,9.1481E-11,2.100,-1.0260,2.7766E-11,2.100,-1.0263,6.7085E-12
2.200,-1.0263,9.1560E-11,2.200,-1.0260,2.7769E-11,2.200,-1.0268,6.7304E-12
2.300,-1.0264,9.1638E-11,2.300,-1.0257,2.7806E-11,2.300,-1.0268,6.7516E-12
2.400,-1.0262,9.1663E-11,2.400,-1.0259,2.7853E-11,2.400,-1.0269,6.7539E-12
2.500,-1.0262,9.1629E-11,2.500,-1.0256,2.7882E-11,2.500,-1.0266,6.7533E-12
2.600,-1.0267,9.1596E-11,2.600,-1.0255,2.7856E-11,2.600,-1.0264,6.7391E-12
2.700,-1.0260,9.1605E-11,2.700,-1.0260,2.7827E-11,2.700,-1.0270,6.7190E-12
2.800,-1.0265,9.1566E-11,2.800,-1.0261,2.7831E-11,2.800,-1.0264,6.7062E-12
2.900,-1.0268,9.1419E-11,2.900,-1.0254,2.7874E-11,2.900,-1.0262,6.7085E-12
3.000,-1.0263,9.1211E-11,3.000,-1.0256,2.7925E-11,3.000,-1.0265,6.7108E-12
3.100,-1.0263,9.1038E-11,3.100,-1.0260,2.7937E-11,3.100,-1.0264,6.7225E-12
3.200,-1.0266,9.1001E-11,3.200,-1.0258,2.7904E-11,3.200,-1.0267,6.7229E-12
3.300,-1.0267,9.1034E-11,3.300,-1.0262,2.7820E-11,3.300,-1.0263,6.7371E-12
3.400,-1.0262,9.1024E-11,3.400,-1.0265,2.7707E-11,3.400,-1.0261,6.7477E-12
3.500,-1.0264,9.0953E-11,3.500,-1.0261,2.7601E-11,3.500,-1.0259,6.7515E-12
3.600,-1.0257,9.0840E-11,3.600,-1.0255,2.7528E-11,3.600,-1.0263,6.7446E-12
3.700,-1.0262,9.0735E-11,3.700,-1.0258,2.7478E-11,3.700,-1.0263,6.7391E-12
3.800,-1.0265,9.0727E-11,3.800,-1.0257,2.7463E-11,3.800,-1.0264,6.7322E-12
3.900,-1.0257,9.0813E-11,3.900,-1.0258,2.7444E-11,3.900,-1.0263,6.7212E-12
4.000,-1.0260,9.0916E-11,4.000,-1.0260,2.7429E-11,4.000,-1.0268,6.7215E-12
4.100,-1.0260,9.0896E-11,4.100,-1.0257,2.7404E-11,4.100,-1.0262,6.7338E-12
4.200,-1.0261,9.0643E-11,4.200,-1.0257,2.7373E-11,4.200,-1.0262,6.7422E-12
4.300,-1.0262,9.0254E-11,4.300,-1.0256,2.7343E-11,4.300,-1.0265,6.7380E-12
4.400,-1.0264,8.9889E-11,4.400,-1.0259,2.7320E-11,4.400,-1.0264,6.7365E-12
4.500,-1.0261,8.9629E-11,4.500,-1.0258,2.7289E-11,4.500,-1.0261,6.7299E-12
4.600,-1.0259,8.9503E-11,4.600,-1.0256,2.7275E-11,4.600,-1.0262,6.7180E-12
4.700,-1.0263,8.9472E-11,4.700,-1.0251,2.7284E-11,4.700,-1.0266,6.7122E-12
4.800,-1.0260,8.9437E-11,4.800,-1.0254,2.7323E-11,4.800,-1.0266,6.7070E-12
4.900,-1.0263,8.9363E-11,4.900,-1.0255,2.7402E-11,4.900,-1.0260,6.7208E-12
5.000,-1.0260,8.9265E-11,5.000,-1.0258,2.7514E-11,5.000,-1.0264,6.7427E-12
5.100,-1.0264,8.9258E-11,5.100,-1.0256,2.7625E-11,5.100,-1.0262,6.7680E-12
5.200,-1.0266,8.9368E-11,5.200,-1.0259,2.7697E-11,5.200,-1.0264,6.7780E-12
5.300,-1.0264,8.9534E-11,5.300,-1.0256,2.7750E-11,5.300,-1.0267,6.7686E-12
5.400,-1.0260,8.9692E-11,5.400,-1.0257,2.7804E-11,5.400,-1.0264,6.7497E-12
5.500,-1.0260,8.9743E-11,5.500,-1.0258,2.7851E-11,5.500,-1.0265,6.7167E-12
5.600,-1.0263,8.9642E-11,5.600,-1.0258,2.7889E-11,5.600,-1.0264,6.6976E-12
5.700,-1.0258,8.9436E-11,5.700,-1.0260,2.7912E-11,5.700,-1.0267,6.6778E-12
5.800,-1.0261,8.9278E-11,5.800,-1.0254,2.7926E-11,5.800,-1.0261,6.6724E-12
5.900,-1.0255,8.9316E-11,5.900,-1.0257,2.7939E-11,5.900,-1.0261,6.6741E-12
6.000,-1.0263,8.9430E-11,6.000,-1.0256,2.7956E-11,6.000,-1.0267,6.7069E-12
6.100,-1.0265,8.9501E-11,6.100,-1.0256,2.7988E-11,6.100,-1.0262,6.7469E-12
6.200,-1.0260,8.9552E-11,6.200,-1.0257,2.8021E-11,6.200,-1.0261,6.7755E-12
6.300,-1.0263,8.9584E-11,6.300,-1.0252,2.8040E-11,6.300,-1.0258,6.7812E-12
6.400,-1.0264,8.9573E-11,6.400,-1.0259,2.8031E-11,6.400,-1.0261,6.7768E-12
6.500,-1.0263,8.9459E-11,6.500,-1.0258,2.7964E-11,6.500,-1.0259,6.7640E-12
6.600,-1.0262,8.9296E-11,6.600,-1.0257,2.7876E-11,6.600,-1.0259,6.7506E-12
6.700,-1.0263,8.9104E-11,6.700,-1.0257,2.7816E-11,6.700,-1.0263,6.7508E-12
6.800,-1.0261,8.8882E-11,6.800,-1.0259,2.7795E-11,6.800,-1.0263,6.7621E-12
6.900,-1.0262,8.8651E-11,6.900,-1.0261,2.7805E-11,6.900,-1.0261,6.7881E-12
7.000,-1.0263,8.8468E-11,7.000,-1.0255,2.7818E-11,7.000,-1.0266,6.8082E-12
7.100,-1.0262,8.8340E-11,7.100,-1.0252,2.7809E-11,7.100,-1.0261,6.8144E-12
7.200,-1.0261,8.8365E-11,7.200,-1.0254,2.7761E-11,7.200,-1.0260,6.7952E-12
7.300,-1.0265,8.8679E-11,7.300,-1.0260,2.7688E-11,7.300,-1.0265,6.7747E-12
