"Time (s) Run #12","Voltage (V) Run #12","Current (A) Run #12","Time (s) Run #13","Voltage (V) Run #13","Current (A) Run #13","Time (s) Run #15","Voltage (V) Run #15","Current (A) Run #15","Time (s) Run #16","Voltage (V) Run #16","Current (A) Run #16","Time (s) Run #18","Voltage (V) Run #18","Current (A) Run #18","Time (s) Run #19","Voltage (V) Run #19","Current (A) Run #19","Time (s) Run #21","Voltage (V) Run #21","Current (A) Run #21","Time (s) Run #22","Voltage (V) Run #22","Current (A) Run #22","Time (s) Run #24","Voltage (V) Run #24","Current (A) Run #24","Time (s) Run #25","Voltage (V) Run #25","Current (A) Run #25"
1.500,-0.6058,1.2551E-13,1.500,-0.6063,1.5662E-13,1.500,-0.7181,2.1561E-13,1.500,-0.7178,2.2640E-13,1.500,-1.2354,-4.7915E-13,1.500,-1.2354,-5.0756E-13,1.500,-1.4764,-1.1572E-13,1.500,-1.4763,-1.3318E-13,1.500,-1.9535,-1.8677E-13,1.500,-1.9547,-2.8713E-13
1.600,-0.6056,1.3197E-13,1.600,-0.6063,1.5293E-13,1.600,-0.7182,2.0808E-13,1.600,-0.7182,2.2534E-13,1.600,-1.2355,-4.8329E-13,1.600,-1.2356,-5.0522E-13,1.600,-1.4761,-1.0221E-13,1.600,-1.4765,-1.3433E-13,1.600,-1.9539,-1.8983E-13,1.600,-1.9547,-2.8937E-13
1.700,-0.6058,1.4127E-13,1.700,-0.6060,1.5964E-13,1.700,-0.7187,2.0117E-13,1.700,-0.7182,2.2023E-13,1.700,-1.2351,-4.8470E-13,1.700,-1.2349,-5.0287E-13,1.700,-1.4762,-1.0227E-13,1.700,-1.4757,-1.2400E-13,1.700,-1.9536,-1.8912E-13,1.700,-1.9545,-2.9740E-13
1.800,-0.6058,1.5118E-13,1.800,-0.6062,1.6880E-13,1.800,-0.7182,2.0208E-13,1.800,-0.7179,2.1055E-13,1.800,-1.2355,-4.9117E-13,1.800,-1.2351,-5.0139E-13,1.800,-1.4764,-1.1593E-13,1.800,-1.4757,-1.1718E-13,1.800,-1.9535,-1.8219E-13,1.800,-1.9546,-2.9557E-13
1.900,-0.6059,1.5071E-13,1.900,-0.6060,1.7233E-13,1.900,-0.7181,2.0226E-13,1.900,-0.7183,1.8945E-13,1.900,-1.2351,-4.8735E-13,1.900,-1.2354,-5.0748E-13,1.900,-1.4763,-1.2532E-13,1.900,-1.4758,-1.0530E-13,1.900,-1.9538,-1.8739E-13,1.900,-1.9548,-3.0421E-13
2.000,-0.6060,1.4736E-13,2.000,-0.6062,1.7874E-13,2.000,-0.7181,2.0531E-13,2.000,-0.7184,1.8041E-13,2.000,-1.2354,-4.8854E-13,2.000,-1.2354,-5.0594E-13,2.000,-1.4762,-1.3663E-13,2.000,-1.4756,-1.0492E-13,2.000,-1.9542,-1.8748E-13,2.000,-1.9548,-3.1038E-13
2.100,-0.6059,1.4072E-13,2.100,-0.6061,1.8165E-13,2.100,-0.7185,2.0015E-13,2.100,-0.7178,1.7236E-13,2.100,-1.2356,-4.9244E-13,2.100,-1.2354,-5.0032E-13,2.100,-1.4763,-1.3870E-13,2.100,-1.4760,-1.0636E-13,2.100,-1.9541,-1.8267E-13,2.100,-1.9550,-3.1074E-13
2.200,-0.6054,1.3505E-13,2.200,-0.6061,1.8212E-13,2.200,-0.7187,1.9432E-13,2.200,-0.7181,1.6663E-13,2.200,-1.2352,-4.9080E-13,2.200,-1.2351,-4.9749E-13,2.200,-1.4763,-1.3920E-13,2.200,-1.4762,-1.1158E-13,2.200,-1.9541,-1.7959E-13,2.200,-1.9544,-3.0408E-13
2.300,-0.6055,1.3193E-13,2.300,-0.6063,1.8354E-13,2.300,-0.7183,1.9843E-13,2.300,-0.7179,1.5702E-13,2.300,-1.2354,-4.9261E-13,2.300,-1.2355,-5.0459E-13,2.300,-1.4764,-1.3615E-13,2.300,-1.4763,-1.1764E-13,2.300,-1.9541,-1.8666E-13,2.300,-1.9548,-3.0251E-13
2.400,-0.6058,1.3214E-13,2.400,-0.6057,1.8474E-13,2.400,-0.7178,1.9470E-13,2.400,-0.7176,1.4453E-13,2.400,-1.2353,-4.8467E-13,2.400,-1.2349,-5.0651E-13,2.400,-1.4760,-1.2726E-13,2.400,-1.4758,-1.1981E-13,2.400,-1.9539,-1.9828E-13,2.400,-1.9544,-3.0681E-13
2.500,-0.6061,1.2869E-13,2.500,-0.6058,1.7396E-13,2.500,-0.7182,1.8467E-13,2.500,-0.7173,1.3361E-13,2.500,-1.2357,-4.8051E-13,2.500,-1.2354,-5.1426E-13,2.500,-1.4766,-1.2146E-13,2.500,-1.4759,-1.1854E-13,2.500,-1.9539,-2.0825E-13,2.500,-1.9547,-3.1936E-13
2.600,-0.6059,1.3096E-13,2.600,-0.6062,1.6796E-13,2.600,-0.7180,1.7161E-13,2.600,-0.7181,1.4014E-13,2.600,-1.2355,-4.7925E-13,2.600,-1.2351,-5.1283E-13,2.600,-1.4763,-1.1703E-13,2.600,-1.4760,-1.1902E-13,2.600,-1.9540,-2.1167E-13,2.600,-1.9547,-3.2792E-13
2.700,-0.6063,1.3250E-13,2.700,-0.6059,1.6261E-13,2.700,-0.7184,1.5173E-13,2.700,-0.7180,1.4740E-13,2.700,-1.2357,-4.7432E-13,2.700,-1.2352,-5.1594E-13,2.700,-1.4763,-1.1423E-13,2.700,-1.4761,-1.2007E-13,2.700,-1.9540,-2.1722E-13,2.700,-1.9544,-3.3097E-13
2.800,-0.6060,1.4324E-13,2.800,-0.6066,1.5409E-13,2.800,-0.7181,1.4888E-13,2.800,-0.7178,1.6080E-13,2.800,-1.2359,-4.7332E-13,2.800,-1.2350,-5.1516E-13,2.800,-1.4766,-1.1780E-13,2.800,-1.4758,-1.1942E-13,2.800,-1.9541,-2.2162E-13,2.800,-1.9544,-3.3883E-13
2.900,-0.6058,1.5492E-13,2.900,-0.6062,1.5493E-13,2.900,-0.7181,1.5371E-13,2.900,-0.7181,1.6697E-13,2.900,-1.2356,-4.7527E-13,2.900,-1.2350,-5.1493E-13,2.900,-1.4766,-1.1932E-13,2.900,-1.4763,-1.2264E-13,2.900,-1.9544,-2.2313E-13,2.900,-1.9542,-3.4672E-13
3.000,-0.6060,1.6713E-13,3.000,-0.6059,1.5803E-13,3.000,-0.7184,1.6200E-13,3.000,-0.7176,1.8101E-13,3.000,-1.2357,-4.7478E-13,3.000,-1.2350,-5.1210E-13,3.000,-1.4760,-1.1920E-13,3.000,-1.4762,-1.1863E-13,3.000,-1.9540,-2.1892E-13,3.000,-1.9544,-3.4751E-13
3.100,-0.6060,1.6757E-13,3.100,-0.6065,1.5576E-13,3.100,-0.7185,1.6715E-13,3.100,-0.7181,1.8698E-13,3.100,-1.2355,-4.7529E-13,3.100,-1.2351,-5.0543E-13,3.100,-1.4764,-1.2705E-13,3.100,-1.4762,-1.2357E-13,3.100,-1.9538,-2.1792E-13,3.100,-1.9542,-3.4513E-13
3.200,-0.6061,1.6376E-13,3.200,-0.6062,1.5917E-13,3.200,-0.7185,1.6727E-13,3.200,-0.7182,1.9059E-13,3.200,-1.2354,-4.7452E-13,3.200,-1.2350,-4.9451E-13,3.200,-1.4763,-1.3102E-13,3.200,-1.4762,-1.2976E-13,3.200,-1.9542,-2.2574E-13,3.200,-1.9544,-3.3744E-13
3.300,-0.6060,1.5272E-13,3.300,-0.6061,1.5713E-13,3.300,-0.7185,1.6560E-13,3.300,-0.7183,1.8688E-13,3.300,-1.2356,-4.7830E-13,3.300,-1.2351,-4.8612E-13,3.300,-1.4759,-1.3362E-13,3.300,-1.4762,-1.3760E-13,3.300,-1.9543,-2.2968E-13,3.300,-1.9549,-3.3967E-13
3.400,-0.6059,1.4971E-13,3.400,-0.6061,1.6499E-13,3.400,-0.7184,1.6602E-13,3.400,-0.7182,1.7277E-13,3.400,-1.2356,-4.7892E-13,3.400,-1.2352,-4.8862E-13,3.400,-1.4758,-1.3271E-13,3.400,-1.4760,-1.3693E-13,3.400,-1.9541,-2.3430E-13,3.400,-1.9544,-3.4520E-13
3.500,-0.6053,1.4612E-13,3.500,-0.6059,1.6521E-13,3.500,-0.7185,1.6342E-13,3.500,-0.7181,1.6400E-13,3.500,-1.2353,-4.8389E-13,3.500,-1.2350,-4.8573E-13,3.500,-1.4761,-1.2246E-13,3.500,-1.4760,-1.3411E-13,3.500,-1.9541,-2.3308E-13,3.500,-1.9549,-3.5698E-13
