"Time (s) Run #2","Voltage (V) Run #2","Current (A) Run #2","Time (s) Run #4","Voltage (V) Run #4","Current (A) Run #4","Time (s) Run #6","Voltage (V) Run #6","Current (A) Run #6","Time (s) Run #8","Voltage (V) Run #8","Current (A) Run #8","Time (s) Run #10","Voltage (V) Run #10","Current (A) Run #10"
3.300,-0.6013,3.6359E-13,3.300,-0.7158,3.1437E-13,3.300,-1.2301,2.9401E-13,3.300,-1.4758,-1.4624E-13,3.300,-1.9522,1.4646E-13
3.400,-0.6016,3.5944E-13,3.400,-0.7154,3.2103E-13,3.400,-1.2304,2.7958E-13,3.400,-1.4762,-1.4792E-13,3.400,-1.9519,1.3840E-13
3.500,-0.6014,3.5912E-13,3.500,-0.7150,3.2603E-13,3.500,-1.2302,2.8840E-13,3.500,-1.4764,-1.5510E-13,3.500,-1.9518,1.3726E-13
3.600,-0.6016,3.5317E-13,3.600,-0.7152,3.0728E-13,3.600,-1.2303,2.8746E-13,3.600,-1.4765,-1.6143E-13,3.600,-1.9518,1.3940E-13
3.700,-0.6011,3.6282E-13,3.700,-0.7151,2.8000E-13,3.700,-1.2303,2.9491E-13,3.700,-1.4766,-1.6793E-13,3.700,-1.9519,1.3644E-13
3.800,-0.6015,3.6676E-13,3.800,-0.7154,2.6823E-13,3.800,-1.2302,3.0353E-13,3.800,-1.4763,-1.6676E-13,3.800,-1.9522,1.3186E-13
3.900,-0.6011,3.7909E-13,3.900,-0.7151,2.7285E-13,3.900,-1.2303,3.0188E-13,3.900,-1.4763,-1.6385E-13,3.900,-1.9518,1.2993E-13
4.000,-0.6014,3.8600E-13,4.000,-0.7152,2.8718E-13,4.000,-1.2298,3.0691E-13,4.000,-1.4761,-1.5247E-13,4.000,-1.9522,1.2896E-13
4.100,-0.6011,3.8989E-13,4.100,-0.7155,2.9722E-13,4.100,-1.2301,3.1552E-13,4.100,-1.4765,-1.4618E-13,4.100,-1.9520,1.3131E-13
4.200,-0.6014,3.8182E-13,4.200,-0.7150,3.0765E-13,4.200,-1.2298,3.2604E-13,4.200,-1.4766,-1.4279E-13,4.200,-1.9519,1.3811E-13
4.300,-0.6011,3.7740E-13,4.300,-0.7152,3.1262E-13,4.300,-1.2301,3.3114E-13,4.300,-1.4765,-1.4568E-13,4.300,-1.9521,1.3416E-13
4.400,-0.6014,3.7520E-13,4.400,-0.7149,3.2610E-13,4.400,-1.2298,3.3204E-13,4.400,-1.4761,-1.3730E-13,4.400,-1.9523,1.4016E-13
4.500,-0.6011,3.8096E-13,4.500,-0.7154,3.1960E-13,4.500,-1.2301,3.2639E-13,4.500,-1.4767,-1.3528E-13,4.500,-1.9518,1.3954E-13
4.600,-0.6010,3.7909E-13,4.600,-0.7153,3.1818E-13,4.600,-1.2299,3.4200E-13,4.600,-1.4765,-1.2806E-13,4.600,-1.9516,1.3917E-13
4.700,-0.6011,3.7695E-13,4.700,-0.7154,3.2246E-13,4.700,-1.2300,3.8096E-13,4.700,-1.4766,-1.1710E-13,4.700,-1.9519,1.3762E-13
4.800,-0.6014,3.8147E-13,4.800,-0.7154,3.3436E-13,4.800,-1.2299,4.0409E-13,4.800,-1.4764,-1.2268E-13,4.800,-1.9517,1.4623E-13
4.900,-0.6014,3.7578E-13,4.900,-0.7152,3.6052E-13,4.900,-1.2302,3.9927E-13,4.900,-1.4764,-1.2878E-13,4.900,-1.9519,1.3995E-13
5.000,-0.6013,3.8265E-13,5.000,-0.7157,3.9231E-13,5.000,-1.2300,3.8175E-13,5.000,-1.4769,-1.3923E-13,5.000,-1.9519,1.3342E-13
5.100,-0.6016,3.9469E-13,5.100,-0.7153,4.0946E-13,5.100,-1.2302,3.5996E-13,5.100,-1.4766,-1.4235E-13,5.100,-1.9519,1.2749E-13
5.200,-0.6015,3.9369E-13,5.200,-0.7154,3.9847E-13,5.200,-1.2301,3.3827E-13,5.200,-1.4767,-1.4976E-13,5.200,-1.9520,1.1975E-13
5.300,-0.6014,3.9423E-13,5.300,-0.7159,3.7856E-13,5.300,-1.2300,3.2694E-13,5.300,-1.4767,-1.4954E-13,5.300,-1.9518,1.1642E-13
5.400,-0.6012,3.9470E-13,5.400,-0.7153,3.5975E-13,5.400,-1.2303,3.2101E-13,5.400,-1.4763,-1.4882E-13,5.400,-1.9520,1.1582E-13
5.500,-0.6011,3.8843E-13,5.500,-0.7155,3.4541E-13,5.500,-1.2299,3.1903E-13,5.500,-1.4764,-1.4452E-13,5.500,-1.9521,1.2021E-13
5.600,-0.6014,3.8354E-13,5.600,-0.7153,3.4204E-13,5.600,-1.2296,3.1677E-13,5.600,-1.4765,-1.4691E-13,5.600,-1.9519,1.1160E-13
5.700,-0.6016,3.7208E-13,5.700,-0.7153,3.4382E-13,5.700,-1.2301,3.1244E-13,5.700,-1.4767,-1.5093E-13,5.700,-1.9518,1.1426E-13
5.800,-0.6012,3.7274E-13,5.800,-0.7152,3.4196E-13,5.800,-1.2296,3.1146E-13,5.800,-1.4763,-1.5223E-13,5.800,-1.9519,1.1643E-13
