"Time (s) Run #1","Voltage (V) Run #1","Current (A) Run #1","Time (s) Run #2","Voltage (V) Run #2","Current (A) Run #2","Time (s) Run #3","Voltage (V) Run #3","Current (A) Run #3","Time (s) Run #4","Voltage (V) Run #4","Current (A) Run #4","Time (s) Run #5","Voltage (V) Run #5","Current (A) Run #5","Time (s) Run #6","Voltage (V) Run #6","Current (A) Run #6"
2.700,-1.0261,9.5164E-11,2.700,-1.0265,5.1277E-11,2.700,-1.0268,1.7763E-10,2.700,-1.0269,1.0339E-10,2.700,-1.0264,4.2753E-10,2.700,-1.0260,2.2102E-10
2.800,-1.0262,9.5273E-11,2.800,-1.0268,5.1265E-11,2.800,-1.0268,1.7817E-10,2.800,-1.0270,1.0282E-10,2.800,-1.0260,4.2734E-10,2.800,-1.0269,2.2131E-10
2.900,-1.0261,9.5481E-11,2.900,-1.0264,5.1264E-11,2.900,-1.0263,1.7883E-10,2.900,-1.0271,1.0244E-10,2.900,-1.0263,4.2646E-10,2.900,-1.0269,2.2151E-10
3.000,-1.0261,9.5714E-11,3.000,-1.0266,5.1278E-11,3.000,-1.0261,1.7948E-10,3.000,-1.0268,1.0231E-10,3.000,-1.0258,4.2513E-10,3.000,-1.0269,2.2155E-10
3.100,-1.0256,9.5875E-11,3.100,-1.0267,5.1341E-11,3.100,-1.0263,1.8005E-10,3.100,-1.0268,1.0240E-10,3.100,-1.0257,4.2384E-10,3.100,-1.0268,2.2157E-10
3.200,-1.0262,9.5925E-11,3.200,-1.0264,5.1444E-11,3.200,-1.0266,1.8048E-10,3.200,-1.0264,1.0260E-10,3.200,-1.0263,4.2289E-10,3.200,-1.0262,2.2180E-10
3.300,-1.0262,9.5889E-11,3.300,-1.0265,5.1569E-11,3.300,-1.0269,1.8075E-10,3.300,-1.0263,1.0284E-10,3.300,-1.0258,4.2254E-10,3.300,-1.0262,2.2225E-10
3.400,-1.0264,9.5828E-11,3.400,-1.0266,5.1669E-11,3.400,-1.0269,1.8088E-10,3.400,-1.0267,1.0310E-10,3.400,-1.0262,4.2296E-10,3.400,-1.0262,2.2278E-10
3.500,-1.0264,9.5776E-11,3.500,-1.0267,5.1723E-11,3.500,-1.0265,1.8092E-10,3.500,-1.0268,1.0331E-10,3.500,-1.0259,4.2422E-10,3.500,-1.0266,2.2322E-10
3.600,-1.0264,9.5770E-11,3.600,-1.0262,5.1714E-11,3.600,-1.0265,1.8091E-10,3.600,-1.0269,1.0345E-10,3.600,-1.0261,4.2596E-10,3.600,-1.0269,2.2351E-10
3.700,-1.0260,9.5800E-11,3.700,-1.0264,5.1652E-11,3.700,-1.0265,1.8084E-10,3.700,-1.0267,1.0373E-10,3.700,-1.0264,4.2747E-10,3.700,-1.0266,2.2375E-10
3.800,-1.0265,9.5850E-11,3.800,-1.0268,5.1568E-11,3.800,-1.0270,1.8075E-10,3.800,-1.0268,1.0432E-10,3.800,-1.0259,4.2822E-10,3.800,-1.0267,2.2409E-10
3.900,-1.0264,9.5876E-11,3.900,-1.0268,5.1476E-11,3.900,-1.0267,1.8069E-10,3.900,-1.0271,1.0514E-10,3.900,-1.0261,4.2831E-10,3.900,-1.0266,2.2466E-10
4.000,-1.0267,9.5859E-11,4.000,-1.0267,5.1407E-11,4.000,-1.0265,1.8065E-10,4.000,-1.0266,1.0602E-10,4.000,-1.0260,4.2816E-10,4.000,-1.0265,2.2518E-10
4.100,-1.0264,9.5756E-11,4.100,-1.0265,5.1374E-11,4.100,-1.0266,1.8062E-10,4.100,-1.0266,1.0674E-10,4.100,-1.0265,4.2792E-10,4.100,-1.0265,2.2545E-10
4.200,-1.0267,9.5541E-11,4.200,-1.0267,5.1382E-11,4.200,-1.0267,1.8059E-10,4.200,-1.0269,1.0727E-10,4.200,-1.0263,4.2781E-10,4.200,-1.0265,2.2549E-10
4.300,-1.0269,9.5247E-11,4.300,-1.0264,5.1477E-11,4.300,-1.0266,1.8058E-10,4.300,-1.0264,1.0765E-10,4.300,-1.0262,4.2766E-10,4.300,-1.0264,2.2531E-10
4.400,-1.0266,9.4940E-11,4.400,-1.0262,5.1668E-11,4.400,-1.0268,1.8057E-10,4.400,-1.0266,1.0790E-10,4.400,-1.0263,4.2706E-10,4.400,-1.0263,2.2492E-10
4.500,-1.0269,9.4683E-11,4.500,-1.0264,5.1858E-11,4.500,-1.0267,1.8055E-10,4.500,-1.0265,1.0800E-10,4.500,-1.0264,4.2599E-10,4.500,-1.0267,2.2455E-10
4.600,-1.0272,9.4503E-11,4.600,-1.0263,5.1994E-11,4.600,-1.0266,1.8052E-10,4.600,-1.0267,1.0792E-10,4.600,-1.0260,4.2470E-10,4.600,-1.0267,2.2443E-10
4.700,-1.0265,9.4413E-11,4.700,-1.0263,5.2093E-11,4.700,-1.0264,1.8023E-10,4.700,-1.0269,1.0770E-10,4.700,-1.0258,4.2344E-10,4.700,-1.0264,2.2456E-10
4.800,-1.0266,9.4392E-11,4.800,-1.0265,5.2126E-11,4.800,-1.0267,1.7947E-10,4.800,-1.0267,1.0752E-10,4.800,-1.0255,4.2256E-10,4.800,-1.0269,2.2469E-10
4.900,-1.0268,9.4399E-11,4.900,-1.0271,5.2105E-11,4.900,-1.0267,1.7840E-10,4.900,-1.0268,1.0758E-10,4.900,-1.0257,4.2206E-10,4.900,-1.0269,2.2471E-10
5.000,-1.0267,9.4384E-11,5.000,-1.0272,5.2102E-11,5.000,-1.0269,1.7739E-10,5.000,-1.0267,1.0782E-10,5.000,-1.0257,4.2221E-10,5.000,-1.0266,2.2463E-10
5.100,-1.0266,9.4330E-11,5.100,-1.0268,5.2125E-11,5.100,-1.0264,1.7685E-10,5.100,-1.0270,1.0808E-10,5.100,-1.0259,4.2263E-10,5.100,-1.0268,2.2445E-10
5.200,-1.0267,9.4249E-11,5.200,-1.0261,5.2122E-11,5.200,-1.0264,1.7673E-10,5.200,-1.0267,1.0831E-10,5.200,-1.0258,4.2286E-10,5.200,-1.0264,2.2418E-10
5.300,-1.0264,9.4170E-11,5.300,-1.0265,5.2050E-11,5.300,-1.0268,1.7677E-10,5.300,-1.0267,1.0850E-10,5.300,-1.0256,4.2312E-10,5.300,-1.0268,2.2394E-10
5.400,-1.0265,9.4082E-11,5.400,-1.0261,5.1948E-11,5.400,-1.0262,1.7673E-10,5.400,-1.0265,1.0867E-10,5.400,-1.0254,4.2359E-10,5.400,-1.0266,2.2382E-10
