"Time (s) Run #1","Voltage (V) Run #1","Current (A) Run #1","Time (s) Run #2","Voltage (V) Run #2","Current (A) Run #2","Time (s) Run #3","Voltage (V) Run #3","Current (A) Run #3"
5.700,-1.0260,1.7543E-10,5.700,-1.0267,4.7431E-11,5.700,-1.0264,1.1611E-11
5.800,-1.0260,1.7514E-10,5.800,-1.0265,4.7352E-11,5.800,-1.0268,1.1631E-11
5.900,-1.0266,1.7469E-10,5.900,-1.0265,4.7313E-11,5.900,-1.0271,1.1677E-11
6.000,-1.0260,1.7408E-10,6.000,-1.0265,4.7318E-11,6.000,-1.0259,1.1742E-11
6.100,-1.0264,1.7340E-10,6.100,-1.0270,4.7325E-11,6.100,-1.0264,1.1779E-11
6.200,-1.0265,1.7263E-10,6.200,-1.0266,4.7341E-11,6.200,-1.0265,1.1793E-11
6.300,-1.0262,1.7167E-10,6.300,-1.0263,4.7330E-11,6.300,-1.0265,1.1791E-11
6.400,-1.0264,1.7102E-10,6.400,-1.0261,4.7277E-11,6.400,-1.0260,1.1777E-11
6.500,-1.0263,1.7114E-10,6.500,-1.0263,4.7239E-11,6.500,-1.0263,1.1760E-11
6.600,-1.0265,1.7187E-10,6.600,-1.0268,4.7238E-11,6.600,-1.0264,1.1731E-11
6.700,-1.0257,1.7262E-10,6.700,-1.0266,4.7239E-11,6.700,-1.0262,1.1709E-11
6.800,-1.0259,1.7273E-10,6.800,-1.0267,4.7207E-11,6.800,-1.0265,1.1695E-11
6.900,-1.0259,1.7223E-10,6.900,-1.0269,4.7192E-11,6.900,-1.0263,1.1694E-11
7.000,-1.0260,1.7149E-10,7.000,-1.0268,4.7263E-11,7.000,-1.0261,1.1688E-11
7.100,-1.0263,1.7126E-10,7.100,-1.0263,4.7379E-11,7.100,-1.0262,1.1688E-11
7.200,-1.0263,1.7174E-10,7.200,-1.0265,4.7466E-11,7.200,-1.0257,1.1691E-11
7.300,-1.0259,1.7272E-10,7.300,-1.0264,4.7529E-11,7.300,-1.0259,1.1707E-11
7.400,-1.0266,1.7394E-10,7.400,-1.0263,4.7593E-11,7.400,-1.0257,1.1735E-11
7.500,-1.0268,1.7542E-10,7.500,-1.0261,4.7625E-11,7.500,-1.0263,1.1776E-11
7.600,-1.0267,1.7685E-10,7.600,-1.0266,4.7611E-11,7.600,-1.0261,1.1805E-11
7.700,-1.0266,1.7787E-10,7.700,-1.0268,4.7534E-11,7.700,-1.0264,1.1829E-11
7.800,-1.0263,1.7840E-10,7.800,-1.0263,4.7338E-11,7.800,-1.0263,1.1839E-11
7.900,-1.0261,1.7885E-10,7.900,-1.0264,4.7047E-11,7.900,-1.0264,1.1848E-11
8.000,-1.0266,1.7968E-10,8.000,-1.0262,4.6779E-11,8.000,-1.0263,1.1854E-11
8.100,-1.0265,1.8107E-10,8.100,-1.0262,4.6606E-11,8.100,-1.0259,1.1856E-11
8.200,-1.0263,1.8281E-10,8.200,-1.0262,4.6495E-11,8.200,-1.0259,1.1852E-11
8.300,-1.0265,1.8465E-10,8.300,-1.0261,4.6436E-11,8.300,-1.0257,1.1849E-11
8.400,-1.0262,1.8637E-10,8.400,-1.0264,4.6467E-11,8.400,-1.0258,1.1848E-11
8.500,-1.0263,1.8754E-10,8.500,-1.0262,4.6587E-11,8.500,-1.0262,1.1844E-11
8.600,-1.0262,1.8801E-10,8.600,-1.0263,4.6695E-11,8.600,-1.0259,1.1850E-11
8.700,-1.0270,1.8795E-10,8.700,-1.0266,4.6739E-11,8.700,-1.0261,1.1856E-11
8.800,-1.0263,1.8770E-10,8.800,-1.0263,4.6718E-11,8.800,-1.0264,1.1853E-11
8.900,-1.0265,1.8760E-10,8.900,-1.0264,4.6618E-11,8.900,-1.0260,1.1851E-11
9.000,-1.0262,1.8770E-10,9.000,-1.0268,4.6453E-11,9.000,-1.0266,1.1833E-11
9.100,-1.0263,1.8789E-10,9.100,-1.0263,4.6319E-11,9.100,-1.0264,1.1822E-11
9.200,-1.0263,1.8816E-10,9.200,-1.0260,4.6247E-11,9.200,-1.0262,1.1801E-11
9.300,-1.0261,1.8848E-10,9.300,-1.0265,4.6237E-11,9.300,-1.0261,1.1773E-11
9.400,-1.0265,1.8881E-10,9.400,-1.0270,4.6292E-11,9.400,-1.0264,1.1751E-11
9.500,-1.0262,1.8905E-10,9.500,-1.0267,4.6361E-11,9.500,-1.0263,1.1752E-11
9.600,-1.0263,1.8927E-10,9.600,-1.0267,4.6392E-11,9.600,-1.0262,1.1749E-11
9.700,-1.0264,1.8948E-10,9.700,-1.0264,4.6388E-11,9.700,-1.0261,1.1752E-11
9.800,-1.0266,1.8958E-10,9.800,-1.0263,4.6339E-11,9.800,-1.0263,1.1751E-11
9.900,-1.0262,1.8960E-10,9.900,-1.0263,4.6257E-11,9.900,-1.0262,1.1748E-11
10.000,-1.0263,1.8961E-10,10.000,-1.0265,4.6156E-11,10.000,-1.0262,1.1739E-11
10.100,-1.0263,1.8970E-10,10.100,-1.0263,4.6123E-11,10.100,-1.0261,1.1730E-11
10.200,-1.0271,1.8984E-10,10.200,-1.0269,4.6188E-11,10.200,-1.0259,1.1714E-11
10.300,-1.0267,1.8997E-10,,,,10.300,-1.0259,1.1699E-11
10.400,-1.0260,1.9008E-10,,,,10.400,-1.0261,1.1690E-11
10.500,-1.0267,1.9015E-10,,,,,,
10.600,-1.0267,1.9018E-10,,,,,,
10.700,-1.0266,1.9018E-10,,,,,,
