"Time (s) Run #1","Voltage (V) Run #1","Current (A) Run #1","Time (s) Run #3","Voltage (V) Run #3","Current (A) Run #3","Time (s) Run #4","Voltage (V) Run #4","Current (A) Run #4","Time (s) Run #5","Voltage (V) Run #5","Current (A) Run #5","Time (s) Run #6","Voltage (V) Run #6","Current (A) Run #6","Time (s) Run #7","Voltage (V) Run #7","Current (A) Run #7"
0.000,-1.0263,9.3411E-11,0.000,-1.0270,5.7402E-11,0.000,-1.0270,1.7421E-10,0.000,-1.0268,1.0604E-10,0.000,-1.0268,4.1984E-10,0.000,-1.0271,1.9779E-10
0.100,-1.0263,9.3355E-11,0.100,-1.0267,5.7321E-11,0.100,-1.0262,1.7637E-10,0.100,-1.0267,1.0626E-10,0.100,-1.0264,4.1939E-10,0.100,-1.0269,1.9775E-10
0.200,-1.0263,9.3286E-11,0.200,-1.0269,5.7254E-11,0.200,-1.0264,1.7778E-10,0.200,-1.0269,1.0641E-10,0.200,-1.0266,4.2006E-10,0.200,-1.0265,1.9812E-10
0.300,-1.0270,9.3215E-11,0.300,-1.0269,5.7189E-11,0.300,-1.0264,1.7874E-10,0.300,-1.0271,1.0657E-10,0.300,-1.0264,4.2098E-10,0.300,-1.0267,1.9852E-10
0.400,-1.0260,9.3211E-11,0.400,-1.0265,5.7154E-11,0.400,-1.0260,1.7938E-10,0.400,-1.0267,1.0679E-10,0.400,-1.0265,4.2164E-10,0.400,-1.0270,1.9877E-10
0.500,-1.0261,9.3258E-11,0.500,-1.0268,5.7148E-11,0.500,-1.0267,1.7986E-10,0.500,-1.0268,1.0704E-10,0.500,-1.0267,4.2189E-10,0.500,-1.0264,1.9879E-10
0.600,-1.0266,9.3328E-11,0.600,-1.0271,5.7142E-11,0.600,-1.0263,1.8034E-10,0.600,-1.0269,1.0725E-10,0.600,-1.0265,4.2167E-10,0.600,-1.0264,1.9866E-10
0.700,-1.0262,9.3419E-11,0.700,-1.0268,5.7108E-11,0.700,-1.0265,1.8080E-10,0.700,-1.0269,1.0739E-10,0.700,-1.0268,4.2091E-10,0.700,-1.0267,1.9847E-10
0.800,-1.0267,9.3467E-11,0.800,-1.0271,5.7030E-11,0.800,-1.0263,1.8102E-10,0.800,-1.0267,1.0749E-10,0.800,-1.0268,4.2014E-10,0.800,-1.0268,1.9830E-10
0.900,-1.0268,9.3508E-11,0.900,-1.0264,5.6983E-11,0.900,-1.0266,1.8094E-10,0.900,-1.0268,1.0759E-10,0.900,-1.0269,4.2001E-10,0.900,-1.0266,1.9815E-10
1.000,-1.0267,9.3643E-11,1.000,-1.0267,5.6996E-11,1.000,-1.0268,1.8074E-10,1.000,-1.0269,1.0769E-10,1.000,-1.0268,4.2071E-10,1.000,-1.0268,1.9802E-10
